771575,0.27,0.31,0.31,0.2,0.23,0.28,0.2,0.27,0.25,0.33,0.18,0.33,0.19,0.33,0.24,0.21,0.33,0.25,0.29,0.2,0.32,0.18,0.34,0.33,0.38,0.42,0.24,0.28,0.33,0.24,0.32,0.28,0.24,0.34,0.34,0.34,0.33,0.33,0.32,0.24,0.45,0.58,0.38,0.32,0.45,0.17,0.33,0.31,0.33,0.24,0.34,0.31,0.26,0.34,0.36,0.28,0.34,0.33,0.24,0.33,0.39,0.31,0.27,0.24,0.24,0.28,0.26,0.33,0.32,0.25,0.27,0.2,0.44,0.31,0.33,0.33,0.35,0.29,0.49,0.34,0.27,0.23,0.32,0.35,0.29,0.26,0.31,0.33,0.31,0.25,0.32,0.36,0.32,0.47,0.25,0.27,0.26,0.23,0.33,0.33,0.33,0.24,0.29,0.3,0.38,0.3,0.17,0.33,0.25,0.25,0.33,0.33,0.38,0.33,0.3,0.25,0.17,0.27,0.34,0.33,0.36,0.23,0.31,0.31,0.25,0.26,0.29,0.25,0.26,0.27,0.4,0.34,0.29,0.29,0.18,0.25,0.31,0.27,0.33,0.31,0.25,0.3,0.39,0.24,0.15,0.33,0.39,0.23,0.33,0.21,0.34,0.2,0.28,0.29,0.3,0.28,0.33,0.35,0.33,1.0,0.25,0.29,0.16,0.19,0.25,0.27,0.27,0.27,0.24,0.62,0.24,0.28,0.35,0.38,0.28,0.15,0.22,0.17,0.18,0.18,0.31,0.25,0.28,0.35,0.15,0.17,0.29,0.25,0.25,0.29,0.18,0.17,0.25,0.3,0.34,0.27,0.25,0.38,0.25,0.3,0.25,0.29,0.16,0.22,0.27
776166,0.33,0.32,0.32,0.28,0.18,0.38,0.32,0.31,0.34,0.33,0.3,0.48,0.26,0.33,0.35,0.25,0.48,0.32,0.33,0.2,0.43,0.21,0.26,0.33,0.38,0.32,0.31,0.25,0.65,0.37,0.43,0.34,0.4,0.34,0.26,0.26,0.29,0.33,0.33,0.16,0.36,0.48,0.38,0.26,0.36,0.12,0.33,0.31,0.47,0.58,0.27,0.2,0.32,0.36,0.25,0.35,0.27,0.48,0.18,0.33,0.63,0.37,0.4,0.24,0.42,0.44,0.3,0.33,0.44,0.32,0.31,0.29,0.66,0.31,0.28,0.31,0.35,0.37,0.49,0.35,0.48,0.36,0.43,0.34,0.28,0.33,0.32,0.33,0.33,0.47,0.29,0.55,0.29,0.23,0.25,0.48,0.37,0.29,0.29,0.33,0.37,0.29,0.44,0.27,0.38,0.43,0.17,0.31,0.52,0.34,0.33,0.33,0.51,0.31,0.29,0.34,0.2,0.48,0.34,0.33,0.55,0.34,0.31,0.38,0.32,0.3,0.45,0.27,0.35,0.45,0.32,0.34,0.3,0.48,0.21,0.38,0.2,0.33,0.33,0.31,0.31,0.39,0.35,0.29,0.21,0.33,0.34,0.18,0.33,0.25,0.32,0.32,0.34,0.48,0.31,0.35,0.34,0.35,0.33,0.25,1.0,0.34,0.26,0.34,0.27,0.62,0.4,0.34,0.67,0.29,0.26,0.34,0.34,0.38,0.4,0.26,0.29,0.34,0.27,0.3,0.36,0.27,0.34,0.44,0.27,0.34,0.34,0.32,0.27,0.42,0.3,0.29,0.27,0.44,0.44,0.27,0.26,0.33,0.27,0.44,0.3,0.34,0.34,0.37,0.4
748616,0.41,0.46,0.46,0.27,0.19,0.39,0.27,0.5,0.42,0.96,0.18,0.81,0.27,0.89,0.29,0.25,0.94,0.4,0.47,0.22,0.83,0.32,0.26,0.96,0.57,0.56,0.37,0.28,0.33,0.7,0.83,0.45,0.36,0.61,0.26,0.26,0.47,0.99,0.44,0.21,0.67,0.27,0.57,0.35,0.67,0.16,0.44,0.97,0.91,0.33,0.48,0.46,0.46,0.46,0.48,0.41,0.48,0.94,0.18,0.44,0.69,0.47,0.4,0.26,0.34,0.41,0.18,0.44,0.95,0.4,0.44,0.38,0.59,0.94,0.51,0.73,0.52,0.43,0.6,0.46,0.38,0.68,0.92,0.84,0.69,0.41,0.46,0.44,0.52,0.39,0.65,0.59,0.65,0.46,0.35,0.38,0.38,0.44,0.47,0.99,0.48,0.22,0.81,0.33,0.57,0.46,0.12,0.73,0.34,0.42,0.99,0.99,0.59,0.73,0.7,0.42,0.26,0.38,0.61,0.99,0.59,0.63,0.94,0.44,0.4,0.18,0.69,0.39,0.38,0.42,0.56,0.61,0.43,0.51,0.15,0.36,0.46,0.42,0.99,0.97,0.41,0.82,0.53,0.39,0.15,0.96,0.59,0.24,0.99,0.25,0.25,0.27,0.45,0.51,0.57,0.41,0.89,0.52,0.44,0.29,0.34,1.0,0.24,0.64,0.41,0.47,0.48,0.44,0.32,0.42,0.4,0.82,0.45,0.81,0.68,0.26,0.33,0.59,0.25,0.19,0.48,0.39,0.94,0.54,0.26,0.59,0.87,0.27,0.39,0.45,0.19,0.21,0.41,0.53,0.47,0.4,0.39,0.46,0.41,0.46,0.46,0.99,0.56,0.49,0.44
779472,0.22,0.26,0.26,0.2,0.79,0.13,0.27,0.24,0.34,0.26,0.22,0.39,0.19,0.24,0.12,0.67,0.39,0.25,0.23,0.22,0.35,0.16,0.38,0.26,0.28,0.31,0.19,0.36,0.28,0.33,0.35,0.24,0.19,0.29,0.38,0.38,0.27,0.25,0.32,0.23,0.35,0.3,0.28,0.18,0.35,0.15,0.28,0.24,0.38,0.22,0.3,0.21,0.21,0.31,0.27,0.26,0.3,0.39,0.15,0.28,0.45,0.24,0.18,0.52,0.2,0.18,0.33,0.28,0.36,0.25,0.24,0.18,0.39,0.25,0.28,0.21,0.26,0.27,0.28,0.31,0.2,0.32,0.37,0.23,0.19,0.28,0.26,0.28,0.27,0.4,0.21,0.36,0.21,0.19,0.24,0.2,0.27,0.22,0.31,0.25,0.26,0.61,0.37,0.43,0.28,0.18,0.32,0.21,0.14,0.34,0.25,0.25,0.43,0.21,0.3,0.24,0.19,0.2,0.29,0.25,0.36,0.3,0.25,0.34,0.25,0.33,0.37,0.23,0.33,0.28,0.32,0.29,0.19,0.32,0.2,0.3,0.21,0.21,0.25,0.24,0.3,0.33,0.34,0.21,0.24,0.26,0.27,0.14,0.25,0.67,0.61,0.27,0.24,0.32,0.29,0.26,0.27,0.26,0.28,0.16,0.26,0.24,1.0,0.28,0.28,0.24,0.3,0.43,0.26,0.24,0.26,0.24,0.35,0.22,0.26,0.3,0.24,0.24,0.26,0.24,0.35,0.33,0.22,0.28,0.26,0.24,0.24,0.26,0.33,0.35,0.24,0.54,0.28,0.22,0.28,0.33,0.28,0.33,0.28,0.2,0.26,0.22,0.26,0.3,0.35
683005,0.33,0.37,0.37,0.22,0.23,0.23,0.27,0.37,0.49,0.63,0.16,0.83,0.22,0.6,0.18,0.23,0.96,0.28,0.36,0.16,0.85,0.2,0.19,0.63,0.41,0.36,0.28,0.33,0.33,0.84,0.85,0.38,0.25,0.61,0.19,0.19,0.51,0.62,0.27,0.19,0.45,0.27,0.41,0.22,0.45,0.17,0.56,0.63,0.95,0.32,0.27,0.33,0.38,0.29,0.42,0.24,0.27,0.96,0.18,0.56,0.71,0.35,0.25,0.26,0.22,0.28,0.19,0.56,0.93,0.28,0.35,0.33,0.59,0.65,0.33,0.44,0.37,0.26,0.6,0.29,0.24,0.81,0.95,0.53,0.4,0.3,0.37,0.56,0.38,0.44,0.46,0.62,0.46,0.35,0.24,0.24,0.37,0.32,0.36,0.62,0.35,0.27,0.88,0.4,0.41,0.28,0.15,0.44,0.21,0.49,0.62,0.62,0.59,0.44,0.47,0.34,0.22,0.24,0.61,0.62,0.62,0.75,0.65,0.48,0.28,0.19,0.73,0.35,0.23,0.44,0.37,0.61,0.33,0.53,0.14,0.37,0.33,0.34,0.62,0.63,0.3,0.85,0.42,0.33,0.13,0.63,0.56,0.2,0.62,0.23,0.25,0.27,0.38,0.53,0.35,0.24,0.55,0.37,0.56,0.19,0.34,0.64,0.28,1.0,0.27,0.3,0.3,0.29,0.31,0.4,0.26,0.54,0.33,0.49,0.48,0.32,0.39,0.61,0.23,0.18,0.37,0.3,0.6,0.35,0.3,0.61,0.6,0.26,0.3,0.3,0.18,0.24,0.27,0.33,0.35,0.3,0.26,0.31,0.31,0.29,0.36,0.65,0.64,0.54,0.27
740933,0.54,0.72,0.72,0.3,0.25,0.29,0.27,0.63,0.45,0.41,0.15,0.41,0.28,0.42,0.24,0.27,0.41,0.44,0.71,0.22,0.38,0.21,0.19,0.41,0.93,0.8,0.37,0.56,0.27,0.36,0.38,0.66,0.35,0.26,0.19,0.19,0.22,0.43,0.4,0.15,0.82,0.21,0.95,0.46,0.82,0.1,0.26,0.4,0.42,0.33,0.66,0.32,0.47,0.39,0.44,0.35,0.66,0.41,0.12,0.26,0.96,0.6,0.28,0.29,0.36,0.3,0.16,0.26,0.39,0.44,0.56,0.45,0.47,0.39,0.18,0.36,0.84,0.34,0.3,0.39,0.3,0.35,0.37,0.49,0.34,0.43,0.72,0.26,0.73,0.37,0.4,0.8,0.4,0.26,0.31,0.3,0.32,0.46,0.22,0.43,0.65,0.27,0.41,0.67,0.93,0.32,0.15,0.36,0.28,0.45,0.43,0.43,0.84,0.36,0.41,0.51,0.29,0.3,0.26,0.43,0.8,0.34,0.39,0.34,0.44,0.16,0.44,0.48,0.31,0.36,0.85,0.26,0.64,0.66,0.14,0.34,0.32,0.57,0.43,0.4,0.44,0.35,0.73,0.47,0.13,0.41,0.27,0.26,0.43,0.27,0.23,0.27,0.66,0.66,0.41,0.35,0.41,0.82,0.26,0.25,0.27,0.41,0.28,0.27,1.0,0.57,0.7,0.48,0.35,0.35,0.65,0.52,0.72,0.52,0.52,0.45,0.25,0.39,0.26,0.26,0.72,0.81,0.52,0.72,0.53,0.39,0.52,0.24,0.81,0.54,0.26,0.24,0.87,0.52,0.72,0.66,0.72,0.66,0.78,0.53,0.61,0.52,0.37,0.35,0.47
776498,0.43,0.5,0.5,0.34,0.19,0.42,0.35,0.42,0.38,0.49,0.28,0.48,0.32,0.47,0.35,0.25,0.48,0.39,0.49,0.36,0.43,0.33,0.21,0.49,0.63,0.58,0.42,0.28,0.43,0.4,0.43,0.48,0.44,0.34,0.21,0.21,0.29,0.49,0.44,0.37,0.69,0.24,0.63,0.43,0.69,0.14,0.33,0.45,0.45,0.58,0.46,0.38,0.45,0.44,0.39,0.36,0.46,0.48,0.22,0.33,0.69,0.46,0.55,0.29,0.39,0.44,0.19,0.33,0.42,0.39,0.42,0.38,0.53,0.44,0.28,0.43,0.55,0.37,0.34,0.41,0.58,0.39,0.42,0.49,0.4,0.36,0.5,0.33,0.53,0.37,0.36,0.62,0.36,0.3,0.37,0.58,0.39,0.42,0.27,0.49,0.51,0.29,0.42,0.33,0.63,0.47,0.33,0.43,0.69,0.38,0.49,0.49,0.59,0.43,0.42,0.42,0.28,0.58,0.34,0.49,0.62,0.37,0.44,0.38,0.39,0.19,0.4,0.41,0.36,0.45,0.58,0.34,0.46,0.53,0.24,0.4,0.38,0.45,0.49,0.45,0.38,0.38,0.53,0.38,0.38,0.49,0.29,0.3,0.49,0.25,0.2,0.35,0.48,0.53,0.46,0.36,0.49,0.55,0.33,0.27,0.62,0.47,0.24,0.3,0.57,1.0,0.36,0.33,0.29,0.27,0.3,0.36,0.33,0.38,0.41,0.23,0.19,0.24,0.3,0.36,0.41,0.33,0.36,0.43,0.23,0.24,0.35,0.23,0.33,0.35,0.36,0.17,0.35,0.45,0.45,0.32,0.32,0.33,0.32,0.41,0.35,0.35,0.23,0.23,0.32
779543,0.52,0.61,0.61,0.36,0.25,0.39,0.31,0.56,0.38,0.5,0.24,0.46,0.36,0.49,0.33,0.33,0.46,0.81,0.57,0.31,0.4,0.27,0.34,0.5,0.74,0.59,0.45,0.31,0.4,0.37,0.4,0.58,0.49,0.26,0.34,0.34,0.29,0.51,0.75,0.19,0.67,0.27,0.74,0.39,0.67,0.15,0.26,0.47,0.45,0.37,0.52,0.35,0.57,0.66,0.35,0.63,0.52,0.46,0.14,0.26,0.71,0.63,0.42,0.29,0.47,0.45,0.4,0.26,0.42,0.81,0.47,0.44,0.74,0.47,0.23,0.41,0.67,0.69,0.39,0.66,0.45,0.36,0.42,0.57,0.45,0.63,0.61,0.26,0.63,0.53,0.43,0.66,0.43,0.27,0.39,0.45,0.4,0.58,0.33,0.51,0.64,0.39,0.42,0.37,0.74,0.47,0.24,0.41,0.4,0.38,0.51,0.51,0.62,0.41,0.48,0.53,0.35,0.45,0.26,0.51,0.66,0.33,0.47,0.41,0.81,0.4,0.45,0.45,0.62,0.41,0.58,0.26,0.56,0.61,0.15,0.44,0.35,0.54,0.51,0.47,0.7,0.36,0.64,0.41,0.16,0.5,0.29,0.32,0.51,0.33,0.36,0.31,0.58,0.61,0.51,0.63,0.5,0.67,0.26,0.27,0.4,0.48,0.3,0.3,0.7,0.36,1.0,0.45,0.35,0.26,0.35,0.41,0.48,0.42,0.49,0.25,0.19,0.3,0.22,0.22,0.56,0.46,0.41,0.57,0.27,0.3,0.41,0.24,0.46,0.63,0.22,0.28,0.45,0.43,0.57,0.35,0.34,0.46,0.49,0.4,0.47,0.41,0.29,0.33,0.54
779512,0.41,0.44,0.44,0.29,0.37,0.36,0.26,0.47,0.35,0.45,0.25,0.44,0.3,0.45,0.34,0.65,0.44,0.54,0.44,0.24,0.4,0.26,0.57,0.45,0.53,0.51,0.33,0.28,0.33,0.36,0.4,0.44,0.34,0.34,0.57,0.57,0.36,0.46,0.51,0.16,0.58,0.36,0.53,0.35,0.58,0.17,0.33,0.43,0.44,0.32,0.51,0.36,0.43,0.53,0.35,0.46,0.51,0.44,0.19,0.33,0.65,0.51,0.31,0.4,0.33,0.34,0.58,0.33,0.41,0.54,0.39,0.38,0.61,0.42,0.31,0.43,0.48,0.49,0.42,0.53,0.33,0.35,0.4,0.49,0.49,0.57,0.44,0.33,0.48,0.42,0.38,0.59,0.38,0.28,0.37,0.33,0.42,0.48,0.38,0.46,0.49,0.56,0.41,0.3,0.53,0.36,0.15,0.43,0.3,0.35,0.46,0.46,0.51,0.43,0.42,0.42,0.3,0.33,0.34,0.46,0.59,0.33,0.42,0.33,0.54,0.58,0.37,0.37,0.41,0.39,0.52,0.34,0.41,0.54,0.15,0.41,0.36,0.41,0.46,0.43,0.54,0.36,0.47,0.36,0.19,0.45,0.32,0.24,0.46,0.65,0.48,0.26,0.44,0.54,0.44,0.46,0.45,0.48,0.33,0.27,0.34,0.44,0.43,0.29,0.48,0.33,0.45,1.0,0.31,0.26,0.39,0.4,0.38,0.43,0.43,0.22,0.2,0.27,0.19,0.2,0.49,0.34,0.4,0.47,0.23,0.27,0.4,0.19,0.34,0.51,0.2,0.32,0.34,0.38,0.48,0.32,0.32,0.37,0.47,0.34,0.39,0.4,0.27,0.3,0.45
776133,0.33,0.33,0.33,0.26,0.21,0.37,0.35,0.29,0.37,0.33,0.18,0.48,0.24,0.33,0.3,0.27,0.48,0.34,0.34,0.25,0.45,0.2,0.28,0.33,0.38,0.32,0.32,0.25,1.0,0.37,0.45,0.35,0.34,0.34,0.28,0.28,0.29,0.33,0.38,0.16,0.36,0.48,0.38,0.27,0.36,0.12,0.33,0.31,0.47,0.55,0.27,0.23,0.33,0.41,0.25,0.37,0.27,0.48,0.15,0.33,0.63,0.36,0.36,0.24,0.35,0.32,0.25,0.33,0.44,0.34,0.31,0.31,0.66,0.31,0.28,0.31,0.35,0.38,0.49,0.4,0.4,0.36,0.43,0.34,0.27,0.33,0.33,0.33,0.33,0.49,0.29,0.55,0.29,0.23,0.24,0.4,0.42,0.29,0.29,0.33,0.37,0.32,0.44,0.27,0.38,0.33,0.15,0.31,0.39,0.37,0.33,0.33,0.51,0.31,0.29,0.34,0.22,0.4,0.34,0.33,0.55,0.36,0.31,0.38,0.34,0.25,0.45,0.28,0.36,0.5,0.32,0.34,0.31,0.48,0.13,0.42,0.23,0.33,0.33,0.31,0.34,0.41,0.34,0.3,0.16,0.33,0.34,0.17,0.33,0.27,0.32,0.35,0.35,0.48,0.31,0.37,0.33,0.35,0.33,0.24,0.67,0.32,0.26,0.31,0.35,0.29,0.35,0.31,1.0,0.29,0.25,0.33,0.32,0.37,0.37,0.25,0.29,0.35,0.25,0.29,0.37,0.27,0.33,0.44,0.27,0.35,0.33,0.31,0.27,0.43,0.29,0.32,0.27,0.43,0.36,0.27,0.25,0.31,0.27,0.43,0.28,0.33,0.33,0.36,0.4
748653,0.28,0.32,0.32,0.2,0.21,0.3,0.24,0.29,0.31,0.44,0.21,0.69,0.2,0.39,0.25,0.25,0.67,0.26,0.29,0.2,0.62,0.2,0.36,0.44,0.38,0.42,0.26,0.36,0.29,0.48,0.62,0.29,0.25,0.92,0.36,0.36,0.87,0.44,0.35,0.23,0.45,0.42,0.38,0.32,0.45,0.22,0.9,0.41,0.64,0.24,0.35,0.46,0.26,0.36,0.44,0.31,0.35,0.67,0.23,0.9,0.43,0.32,0.26,0.29,0.25,0.31,0.21,0.9,0.56,0.26,0.3,0.2,0.4,0.41,0.74,0.46,0.36,0.32,0.49,0.36,0.25,0.45,0.57,0.4,0.44,0.31,0.32,0.9,0.31,0.26,0.57,0.43,0.57,0.81,0.27,0.25,0.28,0.23,0.62,0.44,0.34,0.32,0.54,0.37,0.38,0.32,0.17,0.46,0.25,0.31,0.44,0.44,0.43,0.46,0.34,0.26,0.18,0.25,0.92,0.44,0.43,0.44,0.41,0.62,0.26,0.21,0.52,0.25,0.29,0.29,0.4,0.92,0.29,0.34,0.17,0.27,0.46,0.27,0.44,0.41,0.27,0.53,0.46,0.25,0.15,0.44,0.9,0.23,0.44,0.25,0.25,0.24,0.29,0.34,0.36,0.31,0.44,0.36,0.9,0.62,0.29,0.42,0.24,0.4,0.35,0.27,0.26,0.26,0.29,1.0,0.3,0.49,0.47,0.56,0.56,0.21,0.51,0.36,0.23,0.24,0.39,0.32,0.51,0.39,0.2,0.36,0.47,0.31,0.32,0.33,0.24,0.24,0.3,0.4,0.35,0.33,0.3,0.46,0.31,0.38,0.32,0.48,0.31,0.29,0.3
736623,0.4,0.53,0.53,0.29,0.23,0.28,0.27,0.45,0.45,0.4,0.18,0.39,0.28,0.41,0.27,0.23,0.39,0.34,0.52,0.22,0.35,0.21,0.17,0.4,0.69,0.76,0.3,0.56,0.25,0.34,0.35,0.51,0.29,0.26,0.17,0.17,0.22,0.42,0.46,0.19,0.71,0.21,0.72,0.47,0.71,0.12,0.26,0.39,0.38,0.3,1.0,0.35,0.47,0.45,0.42,0.38,1.0,0.39,0.11,0.26,0.92,0.48,0.27,0.24,0.32,0.28,0.16,0.26,0.37,0.34,0.44,0.39,0.47,0.38,0.18,0.33,0.65,0.39,0.28,0.45,0.3,0.33,0.35,0.48,0.33,0.39,0.53,0.26,0.6,0.4,0.3,0.75,0.3,0.26,0.35,0.3,0.39,0.38,0.22,0.42,0.46,0.22,0.39,0.67,0.69,0.3,0.15,0.33,0.26,0.45,0.42,0.42,0.78,0.33,0.48,0.39,0.26,0.3,0.26,0.42,0.75,0.32,0.38,0.33,0.34,0.16,0.42,0.39,0.36,0.39,0.69,0.26,0.48,0.63,0.14,0.41,0.35,0.41,0.42,0.39,0.39,0.32,0.55,0.38,0.15,0.4,0.27,0.23,0.42,0.23,0.2,0.27,0.51,0.63,0.4,0.38,0.4,0.63,0.26,0.24,0.26,0.4,0.26,0.26,0.65,0.3,0.35,0.39,0.25,0.3,1.0,0.48,0.62,0.44,0.49,0.37,0.23,0.3,0.25,0.25,0.59,0.61,0.48,0.61,0.45,0.3,0.48,0.23,0.61,0.59,0.25,0.24,0.66,0.44,0.61,0.63,0.66,0.44,0.68,0.42,0.61,0.48,0.3,0.3,0.51
681809,0.41,0.46,0.46,0.27,0.21,0.39,0.27,0.45,0.42,0.85,0.18,0.83,0.27,0.9,0.29,0.25,0.87,0.4,0.47,0.22,0.77,0.31,0.21,0.85,0.57,0.56,0.37,0.28,0.33,0.63,0.77,0.45,0.36,0.63,0.21,0.21,0.53,0.88,0.44,0.21,0.67,0.27,0.57,0.35,0.67,0.16,0.59,0.79,0.84,0.33,0.48,0.41,0.46,0.46,0.49,0.41,0.48,0.87,0.18,0.59,0.69,0.47,0.4,0.26,0.34,0.41,0.19,0.59,0.78,0.4,0.44,0.38,0.6,0.77,0.33,0.62,0.52,0.43,0.54,0.46,0.38,0.61,0.75,0.94,0.59,0.41,0.46,0.59,0.52,0.39,0.57,0.59,0.57,0.4,0.35,0.38,0.38,0.44,0.36,0.88,0.48,0.22,0.73,0.33,0.57,0.46,0.12,0.62,0.34,0.42,0.88,0.88,0.59,0.62,0.69,0.42,0.26,0.38,0.63,0.88,0.59,0.56,0.77,0.41,0.4,0.19,0.65,0.39,0.38,0.42,0.56,0.63,0.43,0.51,0.15,0.36,0.41,0.42,0.88,0.79,0.41,0.67,0.54,0.39,0.15,0.85,0.61,0.24,0.88,0.25,0.27,0.27,0.45,0.51,0.59,0.41,0.77,0.52,0.59,0.28,0.34,0.82,0.24,0.54,0.52,0.36,0.41,0.4,0.33,0.49,0.48,1.0,0.48,0.75,0.77,0.29,0.42,0.6,0.27,0.21,0.52,0.43,0.92,0.58,0.29,0.6,0.97,0.3,0.43,0.49,0.21,0.23,0.45,0.58,0.52,0.44,0.43,0.52,0.45,0.51,0.51,0.9,0.56,0.48,0.48
738494,0.74,0.79,0.79,0.39,0.3,0.34,0.28,0.74,0.46,0.46,0.24,0.54,0.38,0.45,0.33,0.31,0.54,0.5,0.74,0.22,0.5,0.26,0.3,0.46,0.74,0.58,0.38,0.56,0.32,0.4,0.5,0.8,0.39,0.45,0.3,0.3,0.4,0.47,0.46,0.27,0.65,0.36,0.77,0.4,0.65,0.18,0.44,0.44,0.51,0.33,0.62,0.33,0.48,0.49,0.4,0.45,0.62,0.54,0.18,0.44,0.92,0.6,0.31,0.21,0.38,0.32,0.32,0.44,0.39,0.5,0.8,0.48,0.59,0.43,0.38,0.43,0.7,0.48,0.46,0.49,0.3,0.41,0.38,0.49,0.43,0.56,0.79,0.44,0.63,0.42,0.51,0.91,0.51,0.37,0.38,0.3,0.41,0.49,0.38,0.47,0.61,0.22,0.42,0.67,0.74,0.34,0.21,0.43,0.3,0.46,0.47,0.47,0.76,0.43,0.5,0.62,0.38,0.3,0.45,0.47,0.91,0.4,0.43,0.36,0.5,0.32,0.45,0.44,0.42,0.41,0.61,0.45,0.75,0.86,0.17,0.4,0.33,0.77,0.47,0.44,0.47,0.36,0.88,0.64,0.16,0.46,0.49,0.27,0.47,0.31,0.32,0.28,0.8,0.86,0.43,0.45,0.46,0.67,0.44,0.35,0.34,0.45,0.35,0.33,0.72,0.33,0.48,0.38,0.32,0.47,0.62,0.48,1.0,0.38,0.38,0.31,0.25,0.33,0.22,0.22,0.62,0.61,0.36,0.56,0.35,0.33,0.36,0.22,0.61,0.38,0.22,0.22,0.5,0.37,0.51,0.41,0.41,0.7,0.49,0.43,0.4,0.37,0.3,0.32,0.35
746674,0.45,0.49,0.49,0.28,0.18,0.41,0.28,0.49,0.4,0.83,0.16,0.65,0.27,0.7,0.32,0.21,0.76,0.42,0.47,0.24,0.78,0.34,0.28,0.83,0.57,0.58,0.37,0.33,0.37,0.61,0.78,0.48,0.36,0.47,0.28,0.28,0.49,0.84,0.44,0.19,0.64,0.33,0.57,0.5,0.64,0.14,0.49,0.78,0.73,0.36,0.44,0.42,0.45,0.46,0.4,0.42,0.44,0.76,0.18,0.49,0.65,0.52,0.4,0.24,0.33,0.41,0.21,0.49,0.69,0.42,0.44,0.38,0.61,0.77,0.56,1.0,0.54,0.44,0.69,0.46,0.38,0.59,0.68,0.7,0.75,0.42,0.49,0.49,0.52,0.39,0.71,0.62,0.74,0.48,0.37,0.38,0.39,0.44,0.49,0.84,0.52,0.24,0.68,0.37,0.57,0.45,0.14,1.0,0.35,0.4,0.84,0.84,0.54,1.0,0.61,0.44,0.27,0.38,0.47,0.84,0.62,0.64,0.77,0.46,0.42,0.21,0.6,0.39,0.39,0.41,0.56,0.47,0.44,0.53,0.14,0.37,0.42,0.44,0.84,0.78,0.41,0.71,0.54,0.39,0.13,0.83,0.51,0.24,0.84,0.21,0.25,0.28,0.48,0.53,0.53,0.42,0.82,0.54,0.49,0.38,0.38,0.81,0.22,0.49,0.52,0.38,0.42,0.43,0.37,0.56,0.44,0.75,0.38,1.0,0.53,0.24,0.33,0.5,0.22,0.19,0.44,0.38,0.72,0.51,0.23,0.5,0.62,0.24,0.38,0.44,0.19,0.19,0.36,0.48,0.46,0.39,0.34,0.44,0.38,0.41,0.4,0.72,0.41,0.45,0.37
757411,0.5,0.57,0.57,0.34,0.23,0.43,0.27,0.45,0.43,0.73,0.25,0.78,0.33,0.69,0.32,0.25,0.78,0.49,0.54,0.27,0.7,0.31,0.21,0.73,0.57,0.58,0.46,0.31,0.37,0.55,0.7,0.55,0.43,0.79,0.21,0.21,0.78,0.73,0.44,0.27,0.64,0.3,0.57,0.44,0.64,0.25,0.79,0.66,0.75,0.38,0.49,0.46,0.61,0.46,0.6,0.42,0.49,0.78,0.23,0.79,0.69,0.59,0.43,0.31,0.35,0.48,0.25,0.79,0.66,0.49,0.51,0.46,0.59,0.66,0.49,0.53,0.52,0.44,0.48,0.46,0.38,0.54,0.67,0.7,0.5,0.42,0.57,0.79,0.53,0.39,0.53,0.62,0.53,0.48,0.43,0.38,0.4,0.55,0.49,0.73,0.58,0.32,0.64,0.37,0.57,0.5,0.24,0.53,0.37,0.43,0.73,0.73,0.59,0.53,0.64,0.53,0.31,0.38,0.79,0.73,0.62,0.51,0.66,0.48,0.49,0.25,0.61,0.49,0.39,0.44,0.56,0.79,0.54,0.52,0.17,0.38,0.46,0.51,0.73,0.66,0.44,0.61,0.55,0.44,0.19,0.73,0.66,0.3,0.73,0.25,0.23,0.27,0.55,0.52,0.57,0.42,0.63,0.52,0.79,0.28,0.4,0.68,0.26,0.48,0.52,0.41,0.49,0.43,0.37,0.56,0.49,0.77,0.38,0.53,1.0,0.17,0.23,0.27,0.14,0.13,0.33,0.28,0.36,0.36,0.17,0.27,0.35,0.16,0.28,0.25,0.13,0.13,0.23,0.3,0.27,0.24,0.22,0.25,0.29,0.27,0.35,0.35,0.25,0.24,0.23
738238,0.33,0.41,0.41,0.2,0.25,0.17,0.28,0.3,0.4,0.28,0.19,0.43,0.19,0.27,0.14,0.25,0.43,0.25,0.4,0.2,0.42,0.15,0.17,0.28,0.49,0.49,0.21,0.42,0.25,0.4,0.42,0.41,0.21,0.32,0.17,0.17,0.27,0.27,0.25,0.18,0.45,0.21,0.49,0.29,0.45,0.12,0.31,0.25,0.42,0.3,0.37,0.25,0.33,0.24,0.26,0.19,0.37,0.43,0.14,0.31,0.78,0.34,0.19,0.26,0.2,0.21,0.14,0.31,0.37,0.25,0.35,0.32,0.44,0.26,0.28,0.24,0.47,0.2,0.28,0.24,0.21,0.41,0.38,0.3,0.21,0.27,0.41,0.31,0.42,0.37,0.24,0.73,0.24,0.18,0.21,0.21,0.34,0.28,0.38,0.27,0.34,0.27,0.47,0.5,0.49,0.2,0.19,0.24,0.16,0.4,0.27,0.27,0.65,0.24,0.31,0.33,0.19,0.21,0.32,0.27,0.73,0.4,0.26,0.33,0.25,0.14,0.44,0.31,0.18,0.36,0.45,0.32,0.36,0.59,0.15,0.34,0.25,0.33,0.27,0.25,0.25,0.38,0.41,0.31,0.14,0.28,0.29,0.17,0.27,0.25,0.16,0.28,0.41,0.59,0.27,0.19,0.27,0.47,0.31,0.15,0.26,0.26,0.3,0.32,0.45,0.23,0.25,0.22,0.25,0.21,0.37,0.29,0.31,0.24,0.17,1.0,0.39,0.54,0.41,0.37,0.57,0.63,0.48,0.54,0.61,0.54,0.48,0.35,0.63,0.57,0.37,0.37,0.59,0.48,0.61,0.63,0.63,0.59,0.63,0.46,0.59,0.48,0.63,0.61,0.43
